score,time,best
611211,406950,584718
611943,415777,584718
621239,477650,584718
631957,427736,584718
597598,427112,584718
501752,465569,457130
489876,530103,457130
487145,419338,457130
486416,510888,457130
509753,511677,457130
693345,410651,669194
659763,515590,669194
655987,512535,669194
679857,441531,669194
682374,493827,669194
792171,410957,759003
790415,452049,759003
750597,553410,759003
783367,454965,759003
766583,567023,759003
626409,520215,652146
647373,437632,652146
619400,508639,652146
659648,463074,652146
645453,483235,652146
664850,406633,685307
679665,464896,685307
706711,413808,685307
677472,402191,685307
693950,418340,685307
578807,394233,536860
555498,451859,536860
575738,510063,536860
592385,463791,536860
552824,576068,536860
621034,499043,527615
601877,548047,527615
619249,433833,527615
599412,475849,527615
608199,413974,527615
760426,374708,749219
739972,456682,749219
742629,434719,749219
751078,412271,749219
742667,496650,749219
676683,449089,624426
653491,549869,624426
663461,587685,624426
674849,646862,624426
661358,667614,624426
1130518,1222910,584718
1090347,1625694,584718
1138828,736661,584718
1066134,769022,584718
970633,1550362,584718
970181,1056951,457130
931229,948359,457130
920336,1122082,457130
960571,907849,457130
946565,613446,457130
1202346,1402648,669194
1173869,1467963,669194
1099754,1324995,669194
1164684,606538,669194
1228287,1996526,669194
1241126,1142081,759003
1267621,838807,759003
1338796,1211519,759003
1326323,673681,759003
1144364,876645,759003
1120376,914124,652146
1133017,1018686,652146
1187968,737801,652146
1179827,931964,652146
1252514,657027,652146
1111160,2473744,685307
1099561,1515696,685307
1186987,983020,685307
1125107,1388386,685307
1199693,1292762,685307
1056855,553653,536860
1004833,646996,536860
1051376,788528,536860
1110205,1041594,536860
1113137,1379085,536860
1145272,1205107,527615
1077057,1345748,527615
1137082,1043827,527615
1086573,1097135,527615
1081517,547574,527615
1412977,833135,749219
1448024,926032,749219
1214397,1013927,749219
1305200,1552408,749219
1368326,869240,749219
1163812,885452,624426
1028930,937272,624426
1081947,563774,624426
1102364,888430,624426
1154834,1086109,624426
619925,472803,584718
615878,496179,584718
602255,447389,584718
624698,468679,584718
622173,335544,584718
510668,461463,457130
524593,460378,457130
487693,530014,457130
494554,578854,457130
509569,368468,457130
685784,370789,669194
633467,467143,669194
696575,440335,669194
685960,425948,669194
694393,365304,669194
800858,402904,759003
799942,437360,759003
765852,393519,759003
777265,375724,759003
786049,370856,759003
623500,392051,652146
641329,357736,652146
653634,335826,652146
634584,391456,652146
627400,473009,652146
680144,494408,685307
677916,515486,685307
707413,473002,685307
668957,487487,685307
677872,437244,685307
556363,485091,536860
568411,438731,536860
573173,452966,536860
568718,470761,536860
595573,372354,536860
619484,442031,527615
602429,348928,527615
620752,573564,527615
628214,540282,527615
609042,412192,527615
741617,411936,749219
758856,460670,749219
759427,465852,749219
761029,380490,749219
750889,388177,749219
649681,516452,624426
655288,451058,624426
645864,346040,624426
661643,360931,624426
666679,394043,624426
1070926,251177,584718
1020251,65790,584718
1217285,52532,584718
1187044,127946,584718
1090560,97576,584718
1009546,74612,457130
889972,94265,457130
951390,65905,457130
890424,76451,457130
889324,222110,457130
1057983,123564,669194
1149878,152709,669194
1063163,144843,669194
1192814,124524,669194
1157251,66821,669194
1399453,95581,759003
1266326,101300,759003
1465285,70344,759003
1088973,115684,759003
1260702,77627,759003
1095145,127118,652146
1131472,170266,652146
1187200,159615,652146
1102608,101709,652146
1155706,176948,652146
1172158,88591,685307
1094415,91633,685307
1194063,144007,685307
1156616,176277,685307
1231536,150049,685307
1098664,77574,536860
994469,64270,536860
1019161,104021,536860
1034441,275955,536860
1063358,97480,536860
1019517,104561,527615
1174985,132277,527615
1129897,112130,527615
1031697,136851,527615
1051164,74833,527615
1309860,76565,749219
1192299,78466,749219
1342890,72943,749219
1348888,111083,749219
1300109,101302,749219
1189503,108528,624426
1177422,203981,624426
1091186,165718,624426
1172747,87423,624426
1259793,126450,624426
518138,4262816,584718
528780,3772643,584718
513687,3933871,584718
536138,4358225,584718
526851,3839930,584718
408244,5260518,457130
422670,3242603,457130
411380,4123447,457130
438838,3033277,457130
411578,3771877,457130
623474,3729407,669194
608630,3079833,669194
606125,5988254,669194
603934,5214800,669194
635978,2841698,669194
710001,3077211,759003
734612,2926875,759003
686103,5218222,759003
712400,4305583,759003
739256,3211261,759003
566729,4116296,652146
564368,4619909,652146
582472,2589355,652146
577692,3013297,652146
575141,3472835,652146
590739,4223780,685307
597031,5938985,685307
603953,2468058,685307
600138,4604760,685307
591095,2845049,685307
525844,1893058,536860
492358,3463416,536860
488129,5243637,536860
499884,4855601,536860
497530,3470933,536860
490135,6410303,527615
501034,2814419,527615
484969,5221200,527615
477879,4409439,527615
502593,5142619,527615
652273,4495372,749219
674160,3008481,749219
672972,3396621,749219
656797,3403301,749219
692062,4133245,749219
572629,3889681,624426
579811,3094270,624426
564615,4406667,624426
588752,3371581,624426
584668,3695241,624426
670681,5136580,584718
657539,4916696,584718
671933,4892619,584718
662221,3357121,584718
669179,4019026,584718
526701,5328151,457130
525080,3977837,457130
537956,4272588,457130
563653,3086366,457130
583191,6211477,457130
780662,4863632,669194
757939,7076454,669194
763686,3837144,669194
803342,2959371,669194
750867,3762529,669194
836233,4795264,759003
841050,3951835,759003
880003,3553607,759003
850006,3386386,759003
804712,3638125,759003
772689,5508629,652146
725185,4411749,652146
721435,6122376,652146
694621,5030230,652146
772250,4090015,652146
777973,3431263,685307
761923,5583096,685307
726076,2286573,685307
744713,4969708,685307
795840,3639866,685307
641294,4068769,536860
696332,4332696,536860
675055,2426365,536860
637526,3103957,536860
644096,4183960,536860
649043,4959405,527615
611939,3855265,527615
683658,6592378,527615
689354,8162550,527615
658818,4344920,527615
876548,6165612,749219
863389,5615306,749219
878820,4301143,749219
870248,3858595,749219
866747,3041718,749219
741446,4556015,624426
674320,3562298,624426
735560,4452936,624426
743194,4015527,624426
722710,4748864,624426
521186,3851960,584718
538644,4276871,584718
529016,4384422,584718
520036,4050566,584718
532259,3500413,584718
421074,3629390,457130
416043,3097291,457130
399509,5817555,457130
434032,2601035,457130
415648,5273227,457130
596672,3115118,669194
630993,3676064,669194
634720,3086700,669194
622509,3944198,669194
620170,3794394,669194
694869,3434173,759003
694741,2846767,759003
722098,2117708,759003
705514,2861485,759003
673315,7183825,759003
571997,5028097,652146
596983,2148987,652146
560650,5002547,652146
568271,4583381,652146
555750,4295181,652146
608793,3033587,685307
637864,2559801,685307
589287,3511472,685307
600701,3240531,685307
592401,3049375,685307
501141,3116455,536860
507688,3143920,536860
507917,4404844,536860
478298,4162040,536860
500013,3053855,536860
511843,3434016,527615
524443,4264426,527615
481527,3743468,527615
473120,5076157,527615
487584,3300604,527615
680328,2874506,749219
690193,3035962,749219
700032,2807670,749219
674416,3149299,749219
696553,1942332,749219
577533,3708518,624426
572855,4148495,624426
574524,3151873,624426
569448,2526371,624426
578048,3701357,624426
682478,4051975,584718
697568,5016561,584718
623978,3452146,584718
649516,3510961,584718
687303,3688710,584718
570296,3944590,457130
556080,5982120,457130
553485,4162522,457130
556464,3552190,457130
553408,3533173,457130
700029,4263670,669194
738588,4523696,669194
807549,3412040,669194
753687,3529222,669194
760661,3060328,669194
831571,2360764,759003
866815,4123794,759003
905150,3426597,759003
888481,2471747,759003
858407,4104817,759003
724043,5547243,652146
722728,3431045,652146
771004,3669311,652146
730699,4254618,652146
714003,4228704,652146
766964,4388099,685307
784774,3605438,685307
749695,5234494,685307
790869,5413204,685307
749579,4137536,685307
662447,2980978,536860
654692,3628879,536860
680165,3495774,536860
595087,6916488,536860
634026,3388379,536860
714528,3172654,527615
734191,2863528,527615
682829,4228453,527615
719040,2988339,527615
724994,2955386,527615
888109,4280547,749219
841744,4685591,749219
954274,4904791,749219
973638,4066900,749219
921597,5822325,749219
703110,3125877,624426
722791,3152438,624426
778888,4228557,624426
710163,5020280,624426
759846,4622711,624426
439042,12091748,584718
456500,12868759,584718
450429,10987289,584718
443746,11347522,584718
443382,13309536,584718
349369,12331844,457130
371985,11253697,457130
349515,16010984,457130
362203,12675285,457130
357122,12943091,457130
539374,8907637,669194
531252,13085792,669194
533149,9358498,669194
535406,12736901,669194
532218,11651816,669194
595263,13654424,759003
584609,14990899,759003
605707,14369845,759003
606405,10965687,759003
612158,9941189,759003
523353,10130224,652146
530326,10245612,652146
520375,13374955,652146
508221,17740626,652146
499375,14185331,652146
549419,18555508,685307
530673,7615771,685307
523155,9912512,685307
527263,12750004,685307
522850,16092346,685307
410323,12250404,536860
408906,13731593,536860
422410,13013599,536860
423082,12553743,536860
433348,12824527,536860
415738,11666994,527615
420793,11110973,527615
425768,10532600,527615
429419,16635786,527615
437221,8122165,527615
608253,13651998,749219
605032,10022318,749219
594602,14892405,749219
620551,10465537,749219
598588,14156575,749219
488575,13032550,624426
506116,11591982,624426
496378,10873349,624426
495395,15038661,624426
519537,9438985,624426
443386,13423348,584718
469552,11412305,584718
457430,16184800,584718
441881,12699509,584718
438621,13941671,584718
366228,13941062,457130
357986,13880721,457130
358595,17719161,457130
365196,13201103,457130
354623,13860920,457130
534955,13745194,669194
512599,13475075,669194
534994,13244030,669194
529267,14559120,669194
520774,11041064,669194
604836,13531350,759003
634132,12401634,759003
613750,8849862,759003
607533,18468513,759003
608831,11552243,759003
512763,20126203,652146
523318,9292445,652146
502770,14189082,652146
526779,12329936,652146
520355,11503463,652146
538838,16090614,685307
526255,18308826,685307
536784,11943704,685307
554636,9545945,685307
541801,13673424,685307
431483,11598038,536860
439500,16065215,536860
411005,13409094,536860
421987,11939213,536860
431786,11284962,536860
431357,13220940,527615
450304,12402558,527615
423182,15641130,527615
457643,10331742,527615
471932,7687429,527615
599728,13681586,749219
635755,11714696,749219
605233,11283562,749219
638778,8660598,749219
618625,12507499,749219
481743,11865249,624426
501612,12734389,624426
510202,13143314,624426
495743,17077790,624426
515835,13549716,624426
437059,6815242,584718
439260,6698004,584718
435963,9822207,584718
445769,11724685,584718
434710,10740020,584718
383880,6597277,457130
355529,10736617,457130
354507,11608951,457130
369814,6684400,457130
349095,8680899,457130
525047,9815719,669194
557049,8660020,669194
524515,16513235,669194
519348,11676106,669194
521627,7651102,669194
590302,15673942,759003
622195,11559018,759003
589275,10581830,759003
587092,6680397,759003
606630,10637701,759003
517093,8759966,652146
521477,7741183,652146
503806,12829734,652146
502853,7699570,652146
509322,8778038,652146
536194,7751939,685307
517545,8607889,685307
534946,11677614,685307
514124,12588923,685307
560756,14712072,685307
434689,11642134,536860
420821,11700175,536860
441711,11618185,536860
437990,6606600,536860
425018,9661407,536860
421884,9834164,527615
429217,11633909,527615
440197,7686111,527615
453334,6708657,527615
441075,11747885,527615
598457,9642805,749219
612984,7743781,749219
611110,9845864,749219
618268,9782061,749219
594627,10737539,749219
501643,11620664,624426
500920,8757466,624426
493353,9911151,624426
504612,8919996,624426
495741,8784829,624426
437525,12299135,584718
458301,10326015,584718
452386,11342242,584718
443026,10310187,584718
447649,11303232,584718
363072,14966281,457130
396606,13971617,457130
364001,13115770,457130
380745,9304140,457130
351468,11225373,457130
544308,10349277,669194
521459,12628407,669194
538426,9395450,669194
525002,11248490,669194
535052,14175743,669194
614513,9318985,759003
615319,11122082,759003
625671,11227883,759003
595225,8261866,759003
605693,10200237,759003
535840,9340842,652146
526694,9356284,652146
502787,12179919,652146
515065,10267494,652146
521925,17804006,652146
551219,16009474,685307
518349,14933457,685307
522357,14967249,685307
536915,13115313,685307
531987,10446498,685307
409073,12117669,536860
414413,13993559,536860
412936,11022430,536860
419379,12390138,536860
435086,10234482,536860
427757,15474231,527615
449092,10435357,527615
420320,11809899,527615
463201,13380378,527615
433869,18694495,527615
603695,14162099,749219
617616,10480385,749219
612255,10525723,749219
613873,13186316,749219
595061,14785657,749219
474335,11089817,624426
506406,9943435,624426
508378,13743386,624426
495331,15590098,624426
502424,13050133,624426
